,municipality,impact_type,state,rate,value
217,Quezon,Building Damage,Extensive Damage,total,14187637.0
218,San Juan,Building Damage,Extensive Damage,total,951902.0
219,Taguig,Building Damage,Extensive Damage,total,3300500.0
220,Valenzuela,Building Damage,Extensive Damage,total,3073094.0
221,Caloocan,Building Damage,Complete Damage,total,5072855.0
222,Manila,Building Damage,Complete Damage,total,11969904.0
223,Las Pinas,Building Damage,Complete Damage,total,2990543.0
224,Makati,Building Damage,Complete Damage,total,6223243.0
225,Malabon,Building Damage,Complete Damage,total,1960091.0
226,Mandaluyong,Building Damage,Complete Damage,total,2249883.0
227,Marikina,Building Damage,Complete Damage,total,4003510.0
228,Muntinlupa,Building Damage,Complete Damage,total,3845083.0
229,Navotas,Building Damage,Complete Damage,total,1016382.0
230,Paranaque,Building Damage,Complete Damage,total,5149340.0
231,Pasay,Building Damage,Complete Damage,total,3062884.0
232,Pasig,Building Damage,Complete Damage,total,6922002.0
233,Pateros,Building Damage,Complete Damage,total,472378.0
234,Quezon,Building Damage,Complete Damage,total,15414694.0
235,San Juan,Building Damage,Complete Damage,total,920029.0
236,Taguig,Building Damage,Complete Damage,total,4594379.0
237,Valenzuela,Building Damage,Complete Damage,total,2633301.0
238,Caloocan,Building Damage,Complete Collapse,total,625656.0
239,Manila,Building Damage,Complete Collapse,total,1385187.0
240,Las Pinas,Building Damage,Complete Collapse,total,405359.0
241,Makati,Building Damage,Complete Collapse,total,638784.0
242,Malabon,Building Damage,Complete Collapse,total,227640.0
243,Mandaluyong,Building Damage,Complete Collapse,total,253941.0
244,Marikina,Building Damage,Complete Collapse,total,548329.0
245,Muntinlupa,Building Damage,Complete Collapse,total,476436.0
246,Navotas,Building Damage,Complete Collapse,total,117412.0
247,Paranaque,Building Damage,Complete Collapse,total,681479.0
248,Pasay,Building Damage,Complete Collapse,total,368315.0
249,Pasig,Building Damage,Complete Collapse,total,856014.0
250,Pateros,Building Damage,Complete Collapse,total,58103.0
251,Quezon,Building Damage,Complete Collapse,total,1997221.0
252,San Juan,Building Damage,Complete Collapse,total,114219.0
253,Taguig,Building Damage,Complete Collapse,total,532398.0
254,Valenzuela,Building Damage,Complete Collapse,total,356300.0
255,Caloocan,Economic Loss,Financial,total,119027.0
256,Las Pinas,Economic Loss,Financial,total,400031.0
